position,sentLenInTokens,numPunct,numPrecedingNP,numFollowingNP,followsPrepPhrase,fourPosTagsPrecedingFollowing,followedByVBG,followedByPrep,numFollowingAdj,followsVerb,followedByVerb,followedByAdj,followedByNPAdj,numTokensPrecedingFollowingInfinitiveVerb,numTokensUntilNextPrep,followedBySeqAdjNP,depRelType,nextFollowingVerbInWeather,nextFollowingVerbInCognition
31,52,12,9,5,false,ADV-VERB-ADV-ADP-VERB-NUM-CONJ-PUNCT,false,false,1,false,true,false,false,0,14,false,nsubj,false,false
47,52,12,13,1,false,PUNCT-PUNCT-PUNCT-ADP-VERB-ADV-VERB-NOUN,false,false,0,false,true,false,false,0,0,false,nsubj,false,false
1,46,7,0,11,false,ABS-ABS-ABS-ABS-VERB-PUNCT-CONJ-PRON,false,false,1,false,true,false,false,0,9,false,nsubj,false,false
20,46,7,5,6,false,PUNCT-VERB-CONJ-VERB-PUNCT-CONJ-VERB-DET,false,false,1,true,false,false,false,0,5,false,dobj,false,false
2,11,4,0,1,false,ABS-ABS-ABS-CONJ-VERB-VERB-VERB-PUNCT,false,false,0,false,true,false,false,0,6,false,nsubj,false,false
9,22,5,2,1,false,PRON-NOUN-PUNCT-VERB-ADV-PUNCT-PUNCT-PUNCT,false,false,0,true,false,false,false,9,8,false,dobj,false,false
21,22,5,3,0,false,ADV-ADP-ADP-VERB-PUNCT-ABS-ABS-ABS,false,false,0,true,false,false,false,0,0,false,dobj,false,false
17,20,3,4,0,false,NOUN-NOUN-PUNCT-VERB-ADP-ADV-PUNCT-ABS,false,false,0,true,false,false,false,0,0,false,dobj,false,false
4,13,2,1,1,false,ABS-DET-PUNCT-ADP-VERB-ADV-ADV-ADJ,false,false,1,false,true,false,false,0,6,false,prep_for,false,false
1,13,1,0,3,false,ABS-ABS-ABS-ABS-VERB-VERB-ADP-ADP,false,false,0,false,true,false,false,3,7,false,nsubj,false,false
1,25,2,0,6,false,ABS-ABS-ABS-ABS-VERB-VERB-VERB-VERB,false,false,2,false,true,false,false,0,4,false,nsubjpass,false,false
18,25,2,4,2,false,VERB-ADP-ADV-VERB-ADP-NOUN-CONJ-DET,false,true,1,true,false,false,false,0,0,false,dobj,false,false
3,9,1,1,2,false,ABS-ABS-PRON-VERB-VERB-DET-NOUN-ADP,false,false,0,true,true,false,false,0,3,false,nsubj,false,false
8,10,4,1,0,false,PUNCT-PUNCT-PUNCT-CONJ-VERB-PUNCT-ABS-ABS,false,false,0,false,true,false,false,0,0,false,dep,false,false
12,28,3,4,5,false,CONJ-VERB-PRON-VERB-ADV-ADP-PRON-NOUN,false,false,2,true,false,false,false,0,1,false,dobj,false,false
10,15,2,2,2,false,NOUN-PUNCT-VERB-DET-CONJ-DET-ADP-PROPN,false,false,0,false,false,false,false,0,2,false,dobj,false,false
1,11,2,0,1,false,ABS-ABS-ABS-ABS-VERB-VERB-ADV-VERB,false,false,0,false,true,false,false,0,0,false,nsubjpass,false,false
8,11,2,1,0,false,ADV-VERB-PUNCT-VERB-ADV-ADV-PUNCT-ABS,false,false,0,true,false,false,false,0,0,false,parataxis,false,false
6,43,5,1,10,false,VERB-ADV-VERB-ADP-VERB-DET-NOUN-PUNCT,false,false,0,false,true,false,false,0,8,false,nsubj,false,false
19,43,5,5,6,false,ADP-NOUN-PUNCT-CONJ-VERB-NOUN-ADP-PRON,false,false,0,false,true,false,false,0,2,false,nsubj,false,false
23,43,5,7,4,true,PRON-VERB-NOUN-ADP-PUNCT-CONJ-PRON-VERB,false,false,0,false,false,false,false,0,5,false,prep_on,false,false
30,43,5,9,2,true,PRON-VERB-VERB-ADP-PUNCT-ADV-ADP-ADP,false,false,0,false,false,false,false,0,2,false,prep_at,false,false
9,15,3,3,1,false,NOUN-PUNCT-CONJ-DET-VERB-PUNCT-ADP-PRON,false,false,0,false,true,false,false,0,2,false,nsubj,false,false
9,11,1,2,0,true,ADJ-ADP-VERB-ADP-ADV-PUNCT-ABS-ABS,false,false,0,false,false,false,false,0,0,false,prep_with,false,false
15,23,4,4,2,false,VERB-PRON-VERB-VERB-ADP-ADP-DET-ADJ,false,false,1,true,false,false,false,0,1,false,dobj,false,false
3,16,2,1,4,false,ABS-ABS-PRON-VERB-ADP-ADP-PRON-DET,false,false,0,true,false,false,false,0,1,false,dobj,false,false
12,16,2,4,1,false,NOUN-PUNCT-CONJ-VERB-ADP-DET-NOUN-PUNCT,false,false,0,true,false,false,false,0,0,false,dobj,false,false
3,18,3,1,5,false,ABS-ABS-PRON-VERB-NOUN-ADP-NOUN-PUNCT,false,false,0,true,false,false,false,9,1,false,dobj,false,false
17,18,3,6,0,true,ADP-VERB-ADV-ADP-PUNCT-ABS-ABS-ABS,false,false,0,false,false,false,false,0,0,false,prep_for,false,false
8,9,1,1,0,false,ADV-VERB-ADP-ADP-PUNCT-ABS-ABS-ABS,false,false,0,false,false,false,false,0,0,false,prep_about,false,false
3,9,3,1,1,false,ABS-ABS-DET-VERB-PUNCT-INTJ-PUNCT-ADV,false,false,0,true,false,false,false,0,0,false,advmod,false,false
5,6,1,1,0,true,PRON-VERB-ADV-ADP-PUNCT-ABS-ABS-ABS,false,false,0,false,false,false,false,0,0,false,prep_for,false,false
6,18,2,1,4,false,PUNCT-CONJ-PRON-VERB-VERB-ADV-ADP-DET,false,false,1,true,true,false,false,0,2,false,nsubj,false,false
15,18,2,4,1,false,ADJ-NOUN-NOUN-ADP-VERB-NOUN-PUNCT-ABS,false,false,0,false,true,false,false,0,0,false,nsubj,false,false
11,21,4,3,2,false,DET-NOUN-PUNCT-ADV-VERB-VERB-ADP-DET,false,false,0,false,true,false,false,0,2,false,nsubjpass,false,false
7,11,2,2,1,false,PRON-VERB-VERB-VERB-ADV-PUNCT-NOUN-PUNCT,false,false,0,true,false,false,false,0,0,false,dobj,false,false
4,6,1,1,0,false,ABS-DET-ADJ-NOUN-VERB-PUNCT-ABS-ABS,false,false,0,false,true,false,false,0,0,false,nsubj,false,false
1,8,1,0,2,false,ABS-ABS-ABS-ABS-VERB-PROPN-NUM-ADP,false,false,0,false,true,false,false,0,3,false,nsubj,false,false
15,21,3,3,1,false,NUM-NOUN-ADV-PUNCT-VERB-ADV-ADP-ADJ,false,false,1,false,true,false,false,0,2,false,nsubj,false,false
3,5,1,1,0,false,ABS-ABS-PRON-VERB-ADV-PUNCT-ABS-ABS,false,false,0,true,false,false,false,0,0,false,dobj,false,false
1,15,3,0,3,false,ABS-ABS-ABS-ABS-VERB-ADV-NOUN-PUNCT,false,false,0,false,true,false,false,0,11,false,nsubj,false,false
5,29,7,0,7,false,INTJ-PUNCT-INTJ-PUNCT-VERB-VERB-ADP-PRON,false,false,0,false,true,false,false,0,2,false,nsubjpass,false,false
17,29,7,4,3,false,PUNCT-CONJ-PRON-VERB-ADP-ADP-DET-NOUN,false,false,0,true,false,false,false,0,1,false,dobj,false,false
28,29,7,7,0,false,PUNCT-ADV-PRON-VERB-PUNCT-ABS-ABS-ABS,false,false,0,true,false,false,false,0,0,false,dobj,false,false
3,4,1,1,0,false,ABS-ABS-PRON-VERB-PUNCT-ABS-ABS-ABS,false,false,0,true,false,false,false,0,0,false,nsubj,false,false
3,7,1,1,1,false,ABS-ABS-PRON-VERB-ADP-PRON-NOUN-PUNCT,false,false,0,true,false,false,false,0,0,false,dobj,false,false
4,11,1,1,1,false,ABS-VERB-PRON-VERB-ADV-ADV-ADP-DET,false,false,0,true,false,false,false,0,2,false,dobj,false,false
22,32,5,5,2,false,PROPN-VERB-ADP-VERB-ADV-PUNCT-ADP-VERB,false,false,0,true,false,false,false,0,2,false,dobj,false,false
6,27,3,1,6,false,PRON-VERB-ADP-VERB-ADP-PUNCT-CONJ-VERB,false,false,0,true,false,false,false,0,5,false,dobj,false,false
11,27,3,3,4,false,ADP-PUNCT-CONJ-VERB-ADP-DET-NOUN-ADP,false,true,0,true,false,false,false,0,0,false,dobj,false,false
22,27,3,6,1,false,NOUN-PUNCT-CONJ-VERB-ADP-PRON-NOUN-ADV,false,true,0,true,false,false,false,0,0,false,dobj,false,false
11,13,2,2,0,false,ADJ-NOUN-PUNCT-VERB-ADV-PUNCT-ABS-ABS,false,false,0,true,false,false,false,0,0,false,nsubj,false,false
6,24,7,1,5,false,DET-NOUN-PUNCT-VERB-ADP-DET-NOUN-ADP,false,true,0,true,false,false,false,0,0,false,root,false,false
6,10,1,2,1,false,NOUN-VERB-PRON-VERB-ADV-ADJ-NOUN-PUNCT,false,false,1,true,false,false,true,0,0,false,dobj,false,false
6,9,1,0,1,false,ADV-VERB-PRON-VERB-ADP-PROPN-PUNCT-ABS,false,true,0,true,false,false,false,0,0,false,dobj,false,false
25,33,5,6,2,true,DET-VERB-NOUN-ADP-PUNCT-INTJ-PUNCT-PRON,false,false,0,false,false,false,false,0,0,false,prep_in,false,false
29,33,5,8,0,false,PRON-PUNCT-INTJ-PUNCT-VERB-ADV-PRON-PUNCT,false,false,0,false,true,false,false,0,0,false,nsubj,false,false
9,10,1,4,0,true,DET-VERB-NOUN-ADP-PUNCT-ABS-ABS-ABS,false,false,0,false,false,false,false,0,0,false,prep_in,false,false
2,8,2,0,1,false,ABS-ABS-ABS-VERB-ADP-DET-NOUN-PUNCT,false,true,0,true,false,false,false,0,0,false,dobj,false,false
5,7,2,1,0,false,ADJ-NOUN-NOUN-PUNCT-VERB-PUNCT-ABS-ABS,false,false,0,false,true,false,false,0,0,false,nsubj,false,false
4,49,4,1,14,false,ABS-PRON-ADV-VERB-ADV-PRON-VERB-DET,false,false,1,true,false,false,false,11,14,false,dobj,false,false
18,49,4,5,10,false,PRON-VERB-ADP-VERB-ADP-DET-NOUN-X,false,true,1,true,false,false,false,16,0,false,dobj,false,false
26,49,4,9,6,false,X-NOUN-PRON-VERB-ADP-ADV-PUNCT-CONJ,false,true,1,true,false,false,false,8,0,false,dobj,false,false
38,49,4,13,2,false,VERB-ADP-VERB-VERB-ADV-ADV-PUNCT-CONJ,false,false,1,true,false,false,false,6,0,false,dobj,false,false
4,14,2,1,2,false,ABS-ADP-PRON-VERB-ADP-ADP-PRON-NOUN,false,false,0,true,false,false,false,0,1,false,dobj,false,false
12,14,2,3,0,false,NOUN-PUNCT-CONJ-VERB-ADP-PUNCT-ABS-ABS,false,true,0,true,false,false,false,0,0,false,dobj,false,false
10,13,2,3,1,false,ADP-NOUN-PUNCT-CONJ-VERB-PRON-PUNCT-ABS,false,false,0,false,true,false,false,0,0,false,nsubj,false,false
5,8,3,0,0,false,INTJ-PUNCT-INTJ-PUNCT-ADV-VERB-PUNCT-ABS,false,false,0,false,false,false,false,0,0,false,nsubj,false,false
1,6,1,0,0,false,ABS-ABS-ABS-ABS-VERB-ADV-VERB-VERB,false,false,0,false,true,false,false,0,0,false,nsubjpass,false,false
9,23,3,2,2,false,VERB-PUNCT-NOUN-PUNCT-VERB-VERB-CONJ-PRON,false,false,0,false,true,false,false,0,7,false,nsubjpass,false,false
18,23,3,4,0,false,VERB-ADV-VERB-ADP-VERB-VERB-CONJ-ADV,false,false,0,false,true,false,false,0,0,false,nsubjpass,false,false
5,8,1,1,1,false,PRON-ADV-VERB-VERB-ADP-NOUN-PUNCT-ABS,false,true,0,true,false,false,false,0,0,false,dobj,false,false
10,21,3,1,3,false,PRON-VERB-VERB-VERB-ADP-ADP-DET-NOUN,false,false,1,true,false,false,false,0,1,false,dobj,false,false
10,13,2,3,0,false,PUNCT-PRON-ADV-VERB-VERB-VERB-PUNCT-ABS,false,false,0,true,true,false,false,0,0,false,nsubj,false,false
1,10,2,0,2,false,ABS-ABS-ABS-ABS-VERB-VERB-VERB-NOUN,false,false,0,false,true,false,false,0,0,false,nsubj,false,false
1,15,2,0,4,false,ABS-ABS-ABS-ABS-VERB-ADV-DET-NOUN,false,false,0,false,true,false,false,0,10,false,nsubj,false,false
8,15,2,2,2,false,DET-NOUN-PUNCT-CONJ-VERB-VERB-PRON-ADP,false,false,0,false,true,false,false,0,3,false,nsubj,false,false
11,15,2,3,1,false,CONJ-PRON-VERB-VERB-ADP-DET-NOUN-PUNCT,false,true,0,true,false,false,false,0,0,false,dobj,false,false
1,6,1,0,0,false,ABS-ABS-ABS-ABS-VERB-ADV-VERB-ADV,false,false,0,false,true,false,false,0,0,false,nsubj,false,false
13,17,2,3,1,false,NOUN-PUNCT-CONJ-VERB-ADP-ADP-PRON-PUNCT,false,false,0,true,false,false,false,0,0,false,dobj,false,false
1,7,1,0,1,false,ABS-ABS-ABS-ABS-VERB-ADV-DET-ADJ,false,false,1,false,true,false,false,0,0,false,nsubj,false,false
14,19,3,2,0,true,ADJ-NOUN-VERB-ADP-PUNCT-ADV-ADP-ADJ,false,false,1,false,false,false,false,0,2,false,prep_across,false,false
7,8,1,2,0,true,VERB-DET-NOUN-ADP-PUNCT-ABS-ABS-ABS,false,false,0,false,false,false,false,0,0,false,prep_of,false,false
3,6,2,0,1,false,ABS-ABS-INTJ-PUNCT-VERB-PROPN-PUNCT-ABS,false,false,0,false,true,false,false,0,0,false,nsubj,false,false
8,11,4,1,0,false,PUNCT-PUNCT-PUNCT-CONJ-VERB-ADJ-PUNCT-ABS,false,false,1,false,true,false,false,0,0,false,pobj,false,false
2,5,1,0,1,false,ABS-ABS-ABS-VERB-DET-NOUN-PUNCT-ABS,false,false,0,true,false,false,false,0,0,false,nsubj,false,false
5,8,1,2,0,false,PRON-VERB-PRON-VERB-ADP-ADV-PUNCT-ABS,false,true,0,true,false,false,false,0,0,false,dobj,false,false
20,23,4,4,1,false,PRON-VERB-ADV-VERB-ADP-DET-PUNCT-ABS,false,true,0,true,false,false,false,0,0,false,dobj,false,false
4,9,1,1,1,false,ABS-PRON-ADV-VERB-ADP-DET-NOUN-NOUN,false,true,0,true,false,false,false,0,0,false,dobj,false,false
7,11,1,1,0,false,VERB-CONJ-VERB-ADP-VERB-ADV-ADV-PUNCT,false,false,0,false,true,false,false,0,0,false,nsubj,false,false
8,9,1,2,0,false,ADP-PRON-VERB-VERB-PUNCT-ABS-ABS-ABS,false,false,0,true,false,false,false,0,0,false,dobj,false,false
4,16,2,1,4,false,ABS-PROPN-VERB-VERB-PUNCT-PRON-VERB-VERB,false,false,1,true,false,false,false,6,9,false,dobj,false,false
13,16,2,4,1,false,ADJ-NOUN-ADP-VERB-ADP-ADV-PUNCT-ABS,false,true,0,true,false,false,false,0,0,false,dobj,false,false
15,28,3,3,3,false,NOUN-PUNCT-CONJ-VERB-ADV-PUNCT-PRON-VERB,false,false,1,true,false,false,false,0,9,false,dobj,false,false
18,28,3,4,2,false,VERB-PRON-ADV-PUNCT-VERB-VERB-VERB-DET,false,false,1,false,true,false,false,0,6,false,nsubj,false,false
18,19,2,5,0,true,VERB-DET-VERB-ADP-PUNCT-ABS-ABS-ABS,false,false,0,false,false,false,false,0,0,false,prep_from,false,false
12,16,2,2,1,false,DET-NOUN-PUNCT-VERB-ADP-PRON-VERB-PUNCT,false,true,0,true,false,false,false,0,0,false,dobj,false,false
1,5,1,0,1,false,ABS-ABS-ABS-ABS-VERB-VERB-PRON-PUNCT,false,false,0,false,true,false,false,0,0,false,nsubj,false,false
1,9,1,0,1,false,ABS-ABS-ABS-ABS-VERB-ADJ-ADP-DET,false,false,2,false,true,false,false,0,2,false,nsubj,false,false
3,9,2,1,1,false,ABS-ABS-PRON-VERB-ADP-DET-NOUN-PUNCT,false,true,0,true,false,false,false,0,0,false,dobj,false,false
6,9,2,1,1,false,PUNCT-PRON-ADV-VERB-ADP-NOUN-PUNCT-ABS,false,true,0,true,false,false,false,0,0,false,dobj,false,false
1,12,2,0,4,false,ABS-ABS-ABS-ABS-VERB-PRON-PUNCT-ADP,false,false,0,false,true,false,false,0,3,false,nsubj,false,true
11,12,2,4,0,true,VERB-DET-NOUN-ADP-PUNCT-ABS-ABS-ABS,false,false,0,false,false,false,false,0,0,false,prep_for,false,false
9,12,2,3,1,false,DET-NOUN-ADP-VERB-PUNCT-NOUN-PUNCT-ABS,false,false,0,true,false,false,false,0,0,false,dobj,false,false
5,9,2,1,1,false,PRON-VERB-PUNCT-CONJ-VERB-DET-NOUN-PUNCT,false,false,0,false,true,false,false,0,0,false,nsubj,false,false
1,26,2,0,7,false,ABS-ABS-ABS-ABS-VERB-ADV-DET-NOUN,false,false,1,false,true,false,false,6,8,false,nsubj,false,false
1,14,3,0,2,false,ABS-ABS-ABS-ABS-VERB-PUNCT-ADP-PRON,false,false,2,false,true,false,false,0,0,false,nsubj,false,false
3,5,1,0,0,false,ABS-ABS-ADV-VERB-ADV-PUNCT-ABS-ABS,false,false,0,true,false,false,false,0,0,false,nsubj,false,false
7,23,2,2,4,false,NOUN-PUNCT-CONJ-VERB-ADP-DET-NOUN-ADP,false,false,1,true,false,false,false,0,3,false,dobj,false,false
22,23,2,6,0,false,ADV-PRON-VERB-VERB-PUNCT-ABS-ABS-ABS,false,false,0,true,false,false,false,0,0,false,dobj,false,false
8,16,1,2,2,false,VERB-ADV-ADJ-ADP-VERB-VERB-DET-ADJ,false,false,0,false,true,false,false,0,4,false,nsubjpass,false,false
15,18,2,4,1,false,PUNCT-PRON-VERB-VERB-ADP-PRON-PUNCT-ABS,false,false,0,true,false,false,false,0,0,false,dobj,false,false
3,7,1,1,1,false,ABS-ABS-PROPN-VERB-ADP-ADJ-NOUN-PUNCT,false,true,1,true,false,false,false,0,0,false,dobj,false,false
15,19,2,2,1,true,CONJ-VERB-ADV-ADP-ADP-PRON-VERB-PUNCT,false,true,0,false,false,false,false,0,0,false,prep_near,false,false
10,16,2,3,0,false,PRON-NOUN-PUNCT-VERB-ADV-ADV-VERB-CONJ,false,false,0,true,false,false,false,0,0,false,nsubj,false,false
39,43,9,10,1,false,PUNCT-PUNCT-PRON-VERB-ADP-ADP-PRON-PUNCT,false,false,0,true,false,false,false,0,1,false,dobj,false,false
